0,1,2,3,4,5,6,7,8,9,10
flower soil/fertilizer,butter milk,,,,,,,,,
onions,domestic eggs,waffles,,,,,,,,
yogurt,soda,,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
soda,curd,rolls/buns,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
sausage,sugar,,,,,,,,,
soda,rolls/buns,,,,,,,,,
white wine,condensed milk,,,,,,,,,
pip fruit,UHT-milk,soda,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
white bread,soda,,,,,,,,,
root vegetables,soda,,,,,,,,,
butter,chewing gum,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
chocolate marshmallow,specialty chocolate,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
sugar,shopping bags,,,,,,,,,
pork,canned beer,whole milk,rolls/buns,,,,,,,
tropical fruit,frozen vegetables,rice,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
frankfurter,butter,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
bottled water,hair spray,processed cheese,,,,,,,,
bottled water,yogurt,,,,,,,,,
pet care,coffee,soda,,,,,,,,
rolls/buns,domestic eggs,rolls/buns,,,,,,,,
soda,root vegetables,semi-finished bread,,,,,,,,
frankfurter,whole milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,bottled water,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pip fruit,tropical fruit,mustard,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
citrus fruit,yogurt,rolls/buns,,,,,,,,
whole milk,canned vegetables,,,,,,,,,
packaged fruit/vegetables,rolls/buns,root vegetables,napkins,soft cheese,,,,,,
whole milk,candles,,,,,,,,,
pastry,photo/film,,,,,,,,,
ham,pastry,,,,,,,,,
dessert,brown bread,,,,,,,,,
white wine,bottled beer,,,,,,,,,
citrus fruit,beef,citrus fruit,whipped/sour cream,dishes,bottled beer,whole milk,,,,
meat,grapes,,,,,,,,,
photo/film,pork,liquor,,,,,,,,
grapes,detergent,,,,,,,,,
whole milk,whole milk,,,,,,,,,
coffee,root vegetables,,,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
dessert,chewing gum,,,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
yogurt,bottled water,domestic eggs,,,,,,,,
sausage,frozen meals,,,,,,,,,
waffles,beverages,,,,,,,,,
nuts/prunes,butter,soda,bottled beer,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
whole milk,margarine,,,,,,,,,
dessert,other vegetables,,,,,,,,,
chicken,frozen vegetables,candles,,,,,,,,
specialty bar,specialty chocolate,,,,,,,,,
beverages,whole milk,,,,,,,,,
mustard,whole milk,tropical fruit,whole milk,,,,,,,
long life bakery product,yogurt,,,,,,,,,
margarine,sausage,snack products,butter,whipped/sour cream,,,,,,
chicken,domestic eggs,,,,,,,,,
flower soil/fertilizer,whole milk,,,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
bottled beer,berries,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
butter,whole milk,,,,,,,,,
other vegetables,chicken,popcorn,margarine,,,,,,,
onions,white wine,,,,,,,,,
coffee,specialty vegetables,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
white bread,butter,,,,,,,,,
pip fruit,pastry,rolls/buns,chocolate,soda,,,,,,
turkey,grapes,soda,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
pastry,waffles,napkins,,,,,,,,
pork,pasta,fruit/vegetable juice,,,,,,,,
sausage,domestic eggs,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
zwieback,whole milk,domestic eggs,,,,,,,,
rolls/buns,root vegetables,root vegetables,pastry,cake bar,canned fish,,,,,
whole milk,kitchen towels,,,,,,,,,
beef,waffles,detergent,shopping bags,,,,,,,
dessert,white bread,salty snack,cat food,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
brown bread,herbs,,,,,,,,,
other vegetables,curd,,,,,,,,,
berries,pastry,shopping bags,,,,,,,,
tropical fruit,pork,newspapers,,,,,,,,
frozen fish,curd,,,,,,,,,
tropical fruit,oil,,,,,,,,,
chicken,brown bread,,,,,,,,,
cat food,pip fruit,white bread,,,,,,,,
beef,bottled water,,,,,,,,,
newspapers,coffee,,,,,,,,,
whole milk,beverages,,,,,,,,,
citrus fruit,shopping bags,chewing gum,cake bar,,,,,,,
chicken,citrus fruit,turkey,whole milk,sweet spreads,cream cheese ,specialty chocolate,oil,,,
zwieback,butter,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,whole milk,semi-finished bread,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
bottled water,ice cream,,,,,,,,,
artif. sweetener,herbs,,,,,,,,,
other vegetables,beef,yogurt,,,,,,,,
soda,brown bread,,,,,,,,,
rolls/buns,root vegetables,domestic eggs,ice cream,,,,,,,
ham,pastry,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
pip fruit,white wine,shopping bags,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
onions,frozen dessert,,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
liquor (appetizer),tropical fruit,,,,,,,,,
soda,yogurt,,,,,,,,,
rolls/buns,whole milk,butter,frozen vegetables,,,,,,,
soda,soda,,,,,,,,,
herbs,white bread,,,,,,,,,
meat,herbs,,,,,,,,,
whole milk,onions,,,,,,,,,
beef,shopping bags,,,,,,,,,
specialty chocolate,baking powder,soda,,,,,,,,
rolls/buns,rolls/buns,soft cheese,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
sausage,sugar,semi-finished bread,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
beef,chicken,,,,,,,,,
canned beer,pastry,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
citrus fruit,whole milk,specialty cheese,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
bottled water,root vegetables,bottled beer,pastry,,,,,,,
bottled water,bottled beer,brown bread,,,,,,,,
yogurt,whole milk,,,,,,,,,
sausage,curd,,,,,,,,,
butter,rolls/buns,,,,,,,,,
root vegetables,zwieback,,,,,,,,,
frozen fish,pastry,,,,,,,,,
chicken,sausage,tropical fruit,brown bread,domestic eggs,cake bar,fruit/vegetable juice,canned beer,,,
turkey,flour,,,,,,,,,
sausage,grapes,bottled beer,,,,,,,,
ham,white wine,shopping bags,,,,,,,,
sugar,soda,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
bottled water,whole milk,,,,,,,,,
mustard,whole milk,,,,,,,,,
long life bakery product,ketchup,,,,,,,,,
soda,other vegetables,soda,,,,,,,,
soda,beverages,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
yogurt,chewing gum,whipped/sour cream,shopping bags,,,,,,,
pastry,rolls/buns,,,,,,,,,
whole milk,yogurt,,,,,,,,,
hard cheese,soda,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
pip fruit,napkins,shopping bags,,,,,,,,
napkins,white bread,,,,,,,,,
frozen meals,dental care,,,,,,,,,
sparkling wine,liquor,detergent,,,,,,,,
canned beer,UHT-milk,,,,,,,,,
snack products,soda,,,,,,,,,
root vegetables,flour,,,,,,,,,
citrus fruit,beef,tropical fruit,curd,,,,,,,
pastry,specialty bar,flour,,,,,,,,
whole milk,newspapers,,,,,,,,,
other vegetables,margarine,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
pork,root vegetables,,,,,,,,,
specialty cheese,bottled water,,,,,,,,,
other vegetables,herbs,,,,,,,,,
root vegetables,pasta,pip fruit,red/blush wine,,,,,,,
chewing gum,condensed milk,,,,,,,,,
salt,whole milk,pickled vegetables,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
sausage,curd cheese,,,,,,,,,
onions,whole milk,,,,,,,,,
margarine,cereals,,,,,,,,,
citrus fruit,soda,,,,,,,,,
fish,bottled beer,,,,,,,,,
whole milk,light bulbs,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
rolls/buns,baby cosmetics,,,,,,,,,
dessert,root vegetables,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
coffee,liquor,,,,,,,,,
pork,cat food,,,,,,,,,
bottled water,salty snack,brown bread,,,,,,,,
pasta,soda,,,,,,,,,
dessert,sliced cheese,bottled beer,other vegetables,,,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
frozen vegetables,pip fruit,root vegetables,cereals,,,,,,,
sausage,pastry,fruit/vegetable juice,dessert,,,,,,,
berries,bottled beer,,,,,,,,,
UHT-milk,butter,soda,,,,,,,,
dessert,rolls/buns,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
whole milk,waffles,waffles,,,,,,,,
canned beer,soda,candles,pickled vegetables,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
specialty chocolate,brown bread,,,,,,,,,
canned beer,berries,bottled water,,,,,,,,
root vegetables,specialty bar,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
soda,processed cheese,instant coffee,,,,,,,,
yogurt,frozen fish,chocolate,butter,,,,,,,
whole milk,canned beer,,,,,,,,,
rolls/buns,margarine,soda,,,,,,,,
specialty chocolate,herbs,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
tropical fruit,pot plants,,,,,,,,,
liquor (appetizer),liquor,,,,,,,,,
white bread,brown bread,,,,,,,,,
misc. beverages,pork,domestic eggs,sparkling wine,whipped/sour cream,semi-finished bread,,,,,
soda,root vegetables,,,,,,,,,
onions,grapes,yogurt,tropical fruit,whole milk,salty snack,root vegetables,frozen dessert,whipped/sour cream,,
canned beer,canned beer,,,,,,,,,
UHT-milk,sugar,,,,,,,,,
UHT-milk,butter milk,napkins,,,,,,,,
whole milk,shopping bags,,,,,,,,,
bottled beer,brown bread,whole milk,misc. beverages,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
canned beer,sausage,pork,whipped/sour cream,margarine,pickled vegetables,pastry,,,,
frankfurter,misc. beverages,,,,,,,,,
whole milk,popcorn,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
sugar,shopping bags,,,,,,,,,
soda,grapes,,,,,,,,,
beverages,domestic eggs,soda,butter milk,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
brown bread,curd,,,,,,,,,
beef,sugar,,,,,,,,,
organic sausage,salty snack,white bread,,,,,,,,
whole milk,beef,,,,,,,,,
whole milk,dog food,pastry,,,,,,,,
soda,shopping bags,,,,,,,,,
hard cheese,bottled water,specialty fat,,,,,,,,
yogurt,soda,,,,,,,,,
yogurt,butter,cling film/bags,fruit/vegetable juice,,,,,,,
rolls/buns,margarine,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
frankfurter,mustard,,,,,,,,,
newspapers,yogurt,semi-finished bread,,,,,,,,
berries,white wine,,,,,,,,,
yogurt,yogurt,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
frankfurter,sausage,,,,,,,,,
butter milk,semi-finished bread,,,,,,,,,
frozen meals,domestic eggs,domestic eggs,,,,,,,,
beverages,pickled vegetables,,,,,,,,,
soft cheese,frozen vegetables,cream cheese ,,,,,,,,
yogurt,waffles,,,,,,,,,
tea,soda,,,,,,,,,
root vegetables,candy,,,,,,,,,
other vegetables,beverages,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
bottled beer,rolls/buns,herbs,UHT-milk,,,,,,,
oil,butter,,,,,,,,,
cat food,soda,,,,,,,,,
butter,butter,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
turkey,beef,root vegetables,margarine,shopping bags,curd,,,,,
citrus fruit,butter,,,,,,,,,
frozen meals,chocolate,,,,,,,,,
pork,other vegetables,,,,,,,,,
newspapers,other vegetables,,,,,,,,,
pip fruit,onions,domestic eggs,,,,,,,,
whole milk,dessert,,,,,,,,,
frozen meals,whole milk,fruit/vegetable juice,butter,chocolate,bottled water,,,,,
other vegetables,pip fruit,,,,,,,,,
sausage,pot plants,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
dessert,margarine,,,,,,,,,
berries,sliced cheese,,,,,,,,,
soft cheese,bottled beer,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
misc. beverages,onions,,,,,,,,,
rolls/buns,soda,snack products,long life bakery product,,,,,,,
coffee,soda,photo/film,domestic eggs,,,,,,,
yogurt,pet care,,,,,,,,,
tropical fruit,sausage,root vegetables,spread cheese,,,,,,,
frozen vegetables,yogurt,bottled beer,,,,,,,,
root vegetables,whole milk,,,,,,,,,
bottled water,bottled beer,canned fish,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
margarine,canned beer,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
whole milk,beef,rolls/buns,curd,white bread,,,,,,
root vegetables,yogurt,sparkling wine,,,,,,,,
zwieback,frozen vegetables,,,,,,,,,
ice cream,cream cheese ,,,,,,,,,
white bread,soda,,,,,,,,,
semi-finished bread,liquor,pastry,,,,,,,,
tropical fruit,oil,,,,,,,,,
cake bar,butter,,,,,,,,,
detergent,misc. beverages,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
chicken,finished products,meat,fruit/vegetable juice,,,,,,,
brown bread,soda,,,,,,,,,
onions,onions,,,,,,,,,
hamburger meat,tropical fruit,soda,,,,,,,,
root vegetables,newspapers,,,,,,,,,
beef,pork,margarine,fruit/vegetable juice,margarine,,,,,,
frozen potato products,whole milk,pastry,rolls/buns,candy,bottled beer,,,,,
frozen vegetables,butter,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
sugar,bottled water,cream cheese ,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
sausage,bathroom cleaner,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
sparkling wine,waffles,,,,,,,,,
roll products ,rice,,,,,,,,,
meat,citrus fruit,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
sausage,bottled water,,,,,,,,,
whipped/sour cream,meat,bottled water,newspapers,,,,,,,
yogurt,root vegetables,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
coffee,bottled water,liqueur,,,,,,,,
pip fruit,butter,bottled water,,,,,,,,
bottled beer,herbs,,,,,,,,,
whole milk,UHT-milk,canned beer,whole milk,coffee,house keeping products,other vegetables,pip fruit,,,
soda,zwieback,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
misc. beverages,cling film/bags,curd,,,,,,,,
pip fruit,beverages,zwieback,,,,,,,,
mayonnaise,chocolate,,,,,,,,,
bottled water,photo/film,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
sausage,whole milk,,,,,,,,,
specialty chocolate,pastry,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
sausage,whole milk,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
butter milk,yogurt,,,,,,,,,
chicken,bottled water,,,,,,,,,
seasonal products,root vegetables,,,,,,,,,
whole milk,pot plants,domestic eggs,,,,,,,,
frankfurter,frankfurter,butter,domestic eggs,margarine,other vegetables,,,,,
rolls/buns,misc. beverages,,,,,,,,,
canned beer,baking powder,,,,,,,,,
canned vegetables,chocolate marshmallow,,,,,,,,,
sausage,curd,brown bread,,,,,,,,
root vegetables,white bread,,,,,,,,,
whole milk,white bread,,,,,,,,,
light bulbs,detergent,,,,,,,,,
pip fruit,bottled water,salt,,,,,,,,
salty snack,butter,,,,,,,,,
canned beer,berries,,,,,,,,,
cream cheese ,fruit/vegetable juice,whole milk,shopping bags,,,,,,,
pork,white wine,,,,,,,,,
frankfurter,butter,long life bakery product,,,,,,,,
chicken,yogurt,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
tea,light bulbs,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled water,whole milk,domestic eggs,domestic eggs,,,,,,,
bottled beer,soda,frozen vegetables,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
sausage,yogurt,,,,,,,,,
chicken,bottled water,,,,,,,,,
berries,sugar,female sanitary products,dessert,,,,,,,
chicken,dessert,,,,,,,,,
newspapers,canned beer,,,,,,,,,
chicken,bottled water,,,,,,,,,
yogurt,chicken,bottled water,whole milk,flour,detergent,,,,,
pip fruit,dishes,soft cheese,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
softener,salt,whole milk,,,,,,,,
tropical fruit,onions,,,,,,,,,
instant coffee,candles,,,,,,,,,
rolls/buns,specialty chocolate,napkins,onions,rice,rolls/buns,butter milk,dental care,,,
dishes,bottled water,spread cheese,sugar,,,,,,,
whole milk,bottled water,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
onions,grapes,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
syrup,waffles,,,,,,,,,
tropical fruit,shopping bags,cream cheese ,pasta,,,,,,,
cream cheese ,soda,,,,,,,,,
whipped/sour cream,whole milk,oil,,,,,,,,
tropical fruit,berries,whole milk,soap,,,,,,,
hard cheese,cream cheese ,,,,,,,,,
rolls/buns,domestic eggs,butter,butter,,,,,,,
frankfurter,frankfurter,ham,beef,baby cosmetics,other vegetables,domestic eggs,artif. sweetener,margarine,,
whole milk,newspapers,,,,,,,,,
other vegetables,condensed milk,,,,,,,,,
rolls/buns,liquor,curd,other vegetables,,,,,,,
beef,whipped/sour cream,,,,,,,,,
pip fruit,soda,,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
citrus fruit,hard cheese,canned fish,,,,,,,,
tropical fruit,curd,brown bread,pastry,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
beef,whole milk,,,,,,,,,
chocolate,pickled vegetables,bottled water,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
beef,tropical fruit,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
seasonal products,dishes,shopping bags,,,,,,,,
pork,grapes,,,,,,,,,
ice cream,beef,,,,,,,,,
frozen meals,soda,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
grapes,misc. beverages,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
whole milk,sugar,,,,,,,,,
root vegetables,white wine,bottled water,red/blush wine,,,,,,,
citrus fruit,frankfurter,salty snack,newspapers,white wine,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
whole milk,fish,other vegetables,soda,,,,,,,
rolls/buns,whole milk,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
finished products,cocoa drinks,,,,,,,,,
dessert,shopping bags,flour,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
soda,UHT-milk,dessert,napkins,,,,,,,
soda,chocolate,,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
bottled water,flour,,,,,,,,,
photo/film,white wine,other vegetables,brown bread,canned fish,margarine,sliced cheese,,,,
whipped/sour cream,soda,white bread,snack products,,,,,,,
soda,liver loaf,,,,,,,,,
white bread,rolls/buns,,,,,,,,,
beverages,prosecco,,,,,,,,,
tropical fruit,ice cream,newspapers,,,,,,,,
whipped/sour cream,cake bar,,,,,,,,,
spread cheese,chocolate marshmallow,,,,,,,,,
cocoa drinks,sliced cheese,,,,,,,,,
whole milk,canned beer,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
other vegetables,cake bar,,,,,,,,,
sausage,chicken,margarine,yogurt,,,,,,,
waffles,specialty bar,,,,,,,,,
house keeping products,frozen vegetables,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
frozen fish,white bread,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,,,,,,,,
UHT-milk,coffee,yogurt,,,,,,,,
beef,white bread,frozen potato products,,,,,,,,
ham,chocolate marshmallow,,,,,,,,,
hamburger meat,whole milk,rolls/buns,yogurt,frozen vegetables,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
bottled beer,sausage,cream cheese ,frozen vegetables,,,,,,,
oil,candy,,,,,,,,,
frankfurter,sausage,pastry,newspapers,newspapers,honey,,,,,
other vegetables,whole milk,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
canned fish,butter,pot plants,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
specialty chocolate,chewing gum,,,,,,,,,
butter,dog food,,,,,,,,,
bottled water,root vegetables,bottled water,,,,,,,,
specialty fat,brandy,,,,,,,,,
salt,tropical fruit,newspapers,,,,,,,,
baking powder,pet care,yogurt,frozen vegetables,,,,,,,
sausage,beverages,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
brown bread,sugar,,,,,,,,,
sausage,whole milk,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
rolls/buns,tropical fruit,salty snack,specialty bar,,,,,,,
sausage,frozen vegetables,,,,,,,,,
beef,cling film/bags,bottled water,butter,sweet spreads,candy,,,,,
bottled water,berries,,,,,,,,,
citrus fruit,cleaner,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
pet care,snack products,,,,,,,,,
specialty bar,processed cheese,whole milk,whole milk,misc. beverages,,,,,,
canned beer,coffee,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
bottled water,beverages,,,,,,,,,
cream cheese ,whole milk,root vegetables,frankfurter,other vegetables,whole milk,dish cleaner,mustard,hygiene articles,,
meat,whole milk,,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
beverages,other vegetables,,,,,,,,,
meat,rolls/buns,,,,,,,,,
whole milk,yogurt,long life bakery product,,,,,,,,
pork,nuts/prunes,rolls/buns,,,,,,,,
beverages,domestic eggs,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
sausage,grapes,,,,,,,,,
rolls/buns,soda,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pork,bottled water,bottled water,,,,,,,,
ham,yogurt,,,,,,,,,
pickled vegetables,meat,,,,,,,,,
soda,candy,,,,,,,,,
specialty chocolate,white bread,shopping bags,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
newspapers,butter,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
onions,bottled water,sliced cheese,,,,,,,,
chicken,other vegetables,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
flower (seeds),domestic eggs,,,,,,,,,
waffles,dishes,domestic eggs,oil,,,,,,,
tropical fruit,mustard,,,,,,,,,
pork,brown bread,,,,,,,,,
whole milk,dog food,,,,,,,,,
brandy,pastry,,,,,,,,,
yogurt,sauces,specialty chocolate,,,,,,,,
specialty bar,candy,margarine,,,,,,,,
packaged fruit/vegetables,house keeping products,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
whole milk,butter milk,domestic eggs,,,,,,,,
whole milk,soda,mustard,,,,,,,,
condensed milk,onions,,,,,,,,,
other vegetables,chocolate marshmallow,,,,,,,,,
yogurt,ham,other vegetables,soda,other vegetables,newspapers,nut snack,canned beer,,,
waffles,whole milk,condensed milk,,,,,,,,
hamburger meat,fruit/vegetable juice,,,,,,,,,
frankfurter,curd,specialty cheese,,,,,,,,
bottled water,newspapers,,,,,,,,,
other vegetables,pastry,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
root vegetables,beef,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
tropical fruit,sausage,bottled beer,curd,misc. beverages,waffles,fruit/vegetable juice,mayonnaise,,,
hamburger meat,packaged fruit/vegetables,baking powder,,,,,,,,
dishes,frozen fish,,,,,,,,,
meat,yogurt,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
yogurt,whole milk,waffles,,,,,,,,
whole milk,whole milk,sauces,,,,,,,,
berries,baking powder,,,,,,,,,
meat,shopping bags,,,,,,,,,
pip fruit,soft cheese,,,,,,,,,
dish cleaner,waffles,,,,,,,,,
photo/film,whole milk,,,,,,,,,
whole milk,sugar,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
shopping bags,bottled beer,,,,,,,,,
chocolate,yogurt,,,,,,,,,
pip fruit,napkins,,,,,,,,,
tropical fruit,curd,salt,bottled water,,,,,,,
canned vegetables,napkins,,,,,,,,,
citrus fruit,chewing gum,,,,,,,,,
photo/film,canned beer,,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
pip fruit,berries,white wine,other vegetables,,,,,,,
frozen meals,other vegetables,,,,,,,,,
pastry,UHT-milk,,,,,,,,,
chicken,house keeping products,,,,,,,,,
fruit/vegetable juice,salty snack,candy,dental care,butter,,,,,,
other vegetables,white bread,,,,,,,,,
frozen meals,rolls/buns,,,,,,,,,
pork,canned beer,,,,,,,,,
soda,soda,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
yogurt,newspapers,,,,,,,,,
soda,cling film/bags,,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
processed cheese,tropical fruit,,,,,,,,,
tropical fruit,yogurt,pip fruit,yogurt,yogurt,,,,,,
curd,shopping bags,,,,,,,,,
whole milk,soda,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
pip fruit,specialty bar,chocolate,,,,,,,,
pork,citrus fruit,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
mustard,shopping bags,shopping bags,,,,,,,,
bottled water,cream cheese ,curd,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
frankfurter,frozen dessert,other vegetables,cream cheese ,,,,,,,
UHT-milk,soda,,,,,,,,,
misc. beverages,curd,,,,,,,,,
coffee,soda,,,,,,,,,
soda,chewing gum,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
frankfurter,rolls/buns,newspapers,waffles,,,,,,,
whole milk,soda,,,,,,,,,
butter,dessert,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,frozen dessert,shopping bags,,,,,,,,
sausage,flour,,,,,,,,,
white wine,sugar,,,,,,,,,
root vegetables,chocolate,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
tropical fruit,tropical fruit,whole milk,,,,,,,,
misc. beverages,coffee,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
pork,grapes,,,,,,,,,
other vegetables,cat food,,,,,,,,,
tropical fruit,white wine,,,,,,,,,
white bread,UHT-milk,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
coffee,whole milk,,,,,,,,,
curd,sausage,margarine,long life bakery product,,,,,,,
dessert,semi-finished bread,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
meat,other vegetables,,,,,,,,,
